0, 2
0.321334, 2,
0.32, 2.000064,
0.33, 2.000100,
0.34, 2.000600,
0.35, 2.001363,
0.40, 2.009541,
0.45, 2.023788,
0.50, 2.042994, 
0.527661, 2.055322,
0.55, 2.066134,
0.60, 2.092631,
0.65, 2.121734,
0.70, 2.153048,
0.75, 2.186210,
0.80, 2.220929,
0.85, 2.256984,
0.90, 2.294209,
0.95, 2.332440,
1.0, 2.371552,
1.1, 2.452056,
1.2, 2.535063,
1.3, 2.621644,
1.4, 2.708400,
1.5, 2.794941,
1.75, 3.021591,
2.0, 3.250385,
2.5, 3.720468,
3.0, 4.198809,
4.0, 5.171210,
5.0, 6.157233,
